id,username,weighted_in_degree,weighted_out_degree,pagerank,betweenness
UC-143ND7KXdjfcqMXbZH5Ng,@Tooruofficial1,0,1,8.149613075828635e-05,0.0
UCZllv4L7S3t16kgLuN33NiA,@GramGramAnimations,96,1,0.0069084356038418854,4.914217206041683e-06
UC-1yf1p7WRvY3z2L4MamGHg,@Page-Humbuckers1973,0,1,8.149613075828635e-05,0.0
UCgfZdkzvVUHf4vKPj-R4_7A,@controlledburst,65,0,0.004855878103364817,0.0
UC-3GMsrNch7u7837iLI26bA,@vocecaiunocontodomalakoi7541,0,1,8.149613075828635e-05,0.0
UCPTa2aqVGv1bxCMlwkWOxYA,@ZBspicey,45,0,0.0026740489884674473,0.0
UC-3tABkXUfdRJFQ1Zx39MbA,@jackweitzman6697,0,2,8.149613075828635e-05,0.0
UC9-tyozbTOKwJPZ6lEvAb4g,@foxyrand,37,1,0.0034254697885246254,6.945426984538912e-06
UC-5zrhkAivIM0jKEWyLgVJg,@AliBreee,0,1,8.149613075828635e-05,0.0
UCxB219ufjxNVadCO3GPpotA,@therealunclebbq,80,0,0.0045386124070929765,0.0
UC-6vMkA-v9hikqgq7KNmF_Q,@leandrrob,0,1,8.149613075828635e-05,0.0
UCpGVdyY6IlmWNgt9CcKJ6-A,@Digitalsurfer265,2,0,0.0002207551105656564,0.0
UC-7WjYt53C8wGW4wd-BYt1g,@gorkskoal9315,0,2,8.149613075828635e-05,0.0
UCRq8Odw1ITmyesYJvrz3Rug,@GregJonson,15,0,0.0009605684407923095,0.0
UCiLFyonjYI8kyURKsyxXupg,@emoandmetalhead,34,0,0.0023323537837835174,0.0
UC-ARbXQ4QnvoI1orQuB7nNQ,@MetalString_,0,2,8.149613075828635e-05,0.0
UCn2NocgSwkVoxyRaTpexsaw,@metfan4l,37,0,0.002283528748962325,0.0
UC-Aw4ek-oLi1-ewAe-1IE2w,@gearzos,0,3,8.149613075828635e-05,0.0
UC6TLclrnW5jMD-jDqgcVHUQ,@Pseudo_Shark1,32,0,0.0019847021881256774,0.0
UC-DqFd8Gsahp8vZ2kUW1SeQ,@InterMilan_Fan,0,1,8.149613075828635e-05,0.0
UClj9NGh9D4S4uK4UST5djTA,@Ben-o3l6f,48,0,0.0029130953868414756,0.0
UC-E4nxlsndrQ0iaepguiuVQ,@BrokoFankone,0,1,8.149613075828635e-05,0.0
UCitDJR4sOL0I5J6y8P9ryZA,@MarlboroManson,15,0,0.000849741502695611,0.0
UC-EE7G3-nqV4rNZ40OCC_wA,@NotePortal,0,1,8.149613075828635e-05,0.0
UCG2A_TsSa3tj_F41N9In6oA,@MigsUdon,3,0,0.0002323600255496039,0.0
UC-E_HGq6yVEnHujjLi0zpuQ,@whatisiswhatable,0,1,8.149613075828635e-05,0.0
UCAN28dVPemFv6ZynpDM2qyw,@magusofthebargain,17,0,0.0007189375323765456,0.0
UC-IMVsrbOhfEZX8zsrhnnaQ,@MichaelLeeWood-ez5ir,0,1,8.149613075828635e-05,0.0
UCUhCiBjuc9YwfeYqQwQjlpA,@skirkstar,90,0,0.004278816841202813,0.0
UC-IVW0oHb3ACdXuhwM5MpuQ,@ivansick,0,1,8.149613075828635e-05,0.0
UCMcd4MgMTIxoDJD2bMyn3Jw,@WildeMusicBC,5,1,0.00031856796543035677,1.0920482680092629e-07
UC-I_Fr9BirsVNnS5TmFs2uw,@JamesCopeland-i1j,0,1,8.149613075828635e-05,0.0
UCIpqoI6buk5miE09WQ5PEQw,@rogersrecorded,38,0,0.0024953184474193666,0.0
UC-KmWvX0L6fBqZLRqG_yMBw,@HoratioFitzbastard,0,6,8.149613075828635e-05,0.0
UC51RbiV-r8Oci6uRruzHhPw,@gregoryporch8395,4,0,0.00023424190365510888,0.0
UCGKXycg9bloLCBqciY-yJVw,@1bramdoc,15,0,0.0006147190539604147,0.0
UCOnLBDIWJCEAU2iO_7sqMnQ,@WillJunior-r9k,45,0,0.0025935261656230306,0.0
UCfek7NpODd0S9lJPRoNksVA,@andretonelli,37,0,0.0015936994454165316,0.0
UC-L38vgnxi9RV3Lw7EGjdlw,@chinogambino9375,0,1,8.149613075828635e-05,0.0
UCKxT19NqLN5AYl4imxG2E5Q,@nathanbanks2354,79,0,0.005106976365287518,0.0
UC-LkFxRZQ5ARZwb5leJiFGg,@gabrielpenner,0,1,8.149613075828635e-05,0.0
UCWN4oYL0RjBhgxmgtnhKt4A,@bobt5778,37,0,0.002483713532435419,0.0
UC-M8BhSQZ-3Mnr3ebmHnsOg,@victordiesel,0,1,8.149613075828635e-05,0.0
UCKsakyfpVmJBYLJmCRAnBhw,@TheSomsom3,88,0,0.004396369306289735,0.0
UC-MsUKUZsrqKSZibuMBQcqw,@casual_speedrunner1482,0,1,8.149613075828635e-05,0.0
UCi_wliWbpmA10pdtORYrc5g,@yoshinpixels9924,9,0,0.0003174627354318855,0.0
UC-NtoWVWu1ktslJJLc2o5Ng,@thefunnyguyaha,0,1,8.149613075828635e-05,0.0
UC-Pj-eTLEHfKc3I_HEF5N9w,@InsideOfMyOwnMind,0,3,8.149613075828635e-05,0.0
UCY3j3cVe80Zz_UgFqovGL3g,@djchippiewrekonize,7,0,0.00036996116035926713,0.0
UC-Q69i6QZP6H33-IKg5_tIg,@DayOfCasual,0,1,8.149613075828635e-05,0.0
UCCZXbxsMWSImrs3EdAV0sRQ,@jimshorts3263,27,0,0.0011816420712365099,0.0
UC-QX9Ea7Wea41mBtdTn_dTw,@kiaratheexplorer4,0,2,8.149613075828635e-05,0.0
UC-QjnrfjFajlR1xgBRNZn8A,@ZeroGriffen,0,1,8.149613075828635e-05,0.0
UCJquYOG5EL82sKTfH9aMA9Q,@RickBeato,50,0,0.0025533430223391037,0.0
UC-QncaXKMO7AVvYopo3CgJw,@theministryofsound7448,1,3,9.310104574223386e-05,4.368193072037052e-08
UC0fYOn3Zg34GEqP6z-67leA,@linuxpatriot200,22,0,0.000770609501980172,0.0
UCYeHZQSXad8AScmo2pwpd8g,@tiredteen8906,31,0,0.0010553744782613725,0.0
UC-RtuyiiwQO7SmHdYQG2zAg,@serenasmith4450,0,2,8.149613075828635e-05,0.0
UCk495oKXDT9OLQvO-ax-oPw,@CassandraJeffers,33,0,0.0013928515239443543,0.0
UC-S10elB9btXR8sD6RARvqw,@willemmmmm,0,1,8.149613075828635e-05,0.0
UCwT1pS4bOxcbHUQZAuqqkkw,@00Batman,7,0,0.0005689025600840815,0.0
UC-SZaW82GOuF7zFY6loYxMw,@Joe90h,0,2,8.149613075828635e-05,0.0
UCAiYGga6xkRUnXYhaGd0WNA,@PuRpLe0MiSt,95,0,0.004935528130293944,0.0
UCqfI9i_EjGRhfJ9CLlXLd0w,@JoshDare,28,0,0.001521033084903411,0.0
UC-SduEfF--P8oxTICCkhcfg,@IAmVinDieselMF,0,1,8.149613075828635e-05,0.0
UC-URR7eqlpjy0nr-9Q4Hvmg,@johnnygeeful,0,1,8.149613075828635e-05,0.0
UCIaAVggfHOnVdrlO6OFRSZQ,@ghost-hn2lh,4,0,0.00020334773808973513,0.0
UC-UVmAnhNzyXgd1WQcTWFHw,@squeekoid,0,1,8.149613075828635e-05,0.0
UCuYT4lIhz2SQUQ-g8zPujrA,@MaximeKasasa,1,0,0.00015112562066197136,0.0
UC-W9v7bCb2t2iQgI0ngBLGg,@Menuki,0,1,8.149613075828635e-05,0.0
UC-WCatWdOu_JMZEeUg36sdg,@RobertWalsh-vp5ui,0,2,8.149613075828635e-05,0.0
UCf_aqcf_u7_YGxYx_N3F5ig,@homemgalinhagalinha8078,23,0,0.001027296701950008,0.0
UC-WMwIHR8SMWkpI3LtVzL3w,@VüsalƏliyev-e8b,0,1,8.149613075828635e-05,0.0
UC-WuBaCovVcSN2Z6dE82Ckg,@JayJonahJaymeson,0,1,8.149613075828635e-05,0.0
UCbNupOTJ74tywO-Fym3niEg,@furuthebat,83,0,0.0033836269635997033,0.0
UC-XDwcx2CPYrVWljXxpRU7A,@Sashinkimi,0,2,8.149613075828635e-05,0.0
UCEDPRyLstizZ6E2Wm5o13Ww,@DespuésDelafinitud,20,0,0.0005535467145086647,0.0
